fname,count,mean,std,min,25%,50%,75%,max
rev_article_en_21-05-2020 23-17-59.json,163,2.85883094751193,5.16781987020082,0.0025,0.111944444444444,0.616666666666667,2.46236111111111,23.8227777777778
rev_article_hi_21-05-2020 23-18-00.json,21,44.4099338624339,136.253740066798,0.004166666666667,4.75472222222222,9.50111111111111,22.9688888888889,634.7025
rev_insurg_en_21-05-2020 23-17-59.json,43,31.8940439276486,50.9493413251984,0.032222222222222,0.561111111111111,3.08416666666667,40.3877777777778,148.77
rev_insurg_hi_21-05-2020 23-18-00.json,24,1449.75936342593,1451.47991759632,0.014444444444445,0.385347222222222,1717.75972222222,3396.11,3396.11
rev_kash_en_21-05-2020 23-17-59.json,152,10.2768567251462,19.5427723364211,0.004444444444444,0.503194444444444,3.57986111111111,7.66305555555556,99.1561111111111
rev_kash_hi_21-05-2020 23-18-00.json,27,312.486851851852,590.345579900739,0.010555555555556,0.569027777777778,1.63694444444444,17.3844444444444,1434.34888888889
rev_kash_ur_21-05-2020 23-19-01.json,1,2.97944444444445,,2.97944444444445,2.97944444444445,2.97944444444445,2.97944444444445,2.97944444444445
rev_pulwama_en_21-05-2020 23-18-00.json,42,0.480066137566138,0.766949578631815,0.005,0.087013888888889,0.446111111111111,0.498402777777778,4.65222222222222
rev_pulwama_hi_21-05-2020 23-18-00.json,13,1142.30638888889,930.689487666852,0.021944444444445,19.5361111111111,1849.17888888889,1849.17888888889,1849.17888888889
rev_reorg_en_21-05-2020 23-18-00.json,81,2.3622256515775,6.28505126110627,0.005555555555556,0.110555555555556,0.568611111111111,1.81472222222222,49.6638888888889
rev_reorg_hi_21-05-2020 23-18-00.json,4,8.02444444444445,14.1864025889454,0.005833333333333,0.006666666666667,1.4425,9.46027777777778,29.2069444444444
rev_reorg_ur_21-05-2020 23-18-01.json,1,0.006944444444444,,0.006944444444444,0.006944444444444,0.006944444444444,0.006944444444444,0.006944444444444
